id,type,lat,lon,data
709885910,Walkable Bridge,53.3275704,-1.9896633,"{""access"": ""private"", ""bridge"": ""yes"", ""bridge:structure"": ""beam"", ""highway"": ""path"", ""layer"": ""1"", ""surface"": ""wood""}"
25952757,Walkable Bridge,51.666923,0.3839789,"{""bridge"": ""yes"", ""foot"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
1208598841,Walkable Bridge,53.1262678,-2.709237,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""handrail:left"": ""yes"", ""handrail:right"": ""yes"", ""highway"": ""footway"", ""material"": ""wood"", ""ref"": ""Beeston FP 9"", ""source"": ""GPS survey""}"
895847544,Walkable Bridge,53.9333851,-2.2235695,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""layer"": ""1"", ""prow_ref"": ""Bracewell FP 8""}"
724787926,Walkable Bridge,51.0055796,0.3790958,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""highway"": ""footway"", ""layer"": ""1"", ""lit"": ""no"", ""surface"": ""wood""}"
41514116,Walkable Bridge,51.2952512,-0.5583954,"{""bridge"": ""yes"", ""foot"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
110357385,Walkable Bridge,52.24172,-3.9255941,"{""bridge"": ""boardwalk"", ""highway"": ""path"", ""layer"": ""1"", ""passing_places"": ""yes"", ""surface"": ""wood""}"
52125346,Walkable Bridge,52.4684736,-2.0969842,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""source"": ""survey""}"
616271012,Walkable Bridge,51.6374508,-0.4630954,"{""bicycle"": ""designated"", ""bridge"": ""yes"", ""foot"": ""designated"", ""highway"": ""cycleway"", ""layer"": ""1"", ""name"": ""Ebury Way"", ""oneway"": ""no"", ""segregated"": ""no""}"
417411220,Walkable Bridge,50.922935,-0.4364382,"{""access"": ""private"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
217748127,Walkable Bridge,52.2284724,0.9029509,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""note"": ""Way continues N"", ""prow_ref"": ""Elmswell FP 16"", ""source:prow_ref"": ""suffolk_county_council_prow_gis_data"", ""surface"": ""wood""}"
1314805242,Walkable Bridge,53.3983228,0.1989953,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""prow_ref"": ""Saltfleetby St Clement Footpath 56"", ""source:prow_ref"": ""lincolnshire_county_council_prow_gis_data"", ""surface"": ""wood""}"
1295949841,Walkable Bridge,50.624831,-3.6691638,"{""bridge"": ""yes"", ""bridge:structure"": ""clam"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""layer"": ""1"", ""prow_ref"": ""Hennock Footpath 3"", ""source:prow_ref"": ""devon_county_council_prow_gis_data"", ""width"": ""0.3"", ""wikimedia_commons"": ""File:Footbridge over the Beaddon Brook - geograph.org.uk - 3336540.jpg""}"
